date,Return_AMD,Volume_AMD,Close_AMD,Spread_AMD,Return_NVDA,Volume_NVDA,Close_NVDA,Spread_NVDA
2017-01-03,0.0079365079365079,55181960.0,11.43,0.6300000000000008,-0.0443132846168259,37549876.0,2.55025,0.1747500000000002
2017-01-04,0.0,40781190.0,11.43,0.285400000000001,0.0233310459758847,29980506.0,2.60975,0.0992499999999999
2017-01-05,-0.0166229221347332,38855214.0,11.24,0.4599999999999991,-0.0253855733307788,24607382.0,2.5435,0.1192499999999999
2017-01-06,0.0071174377224199,34453462.0,11.32,0.3800000000000008,0.0133674071161785,20571416.0,2.5775,0.0762499999999999
2017-01-09,0.015017667844523,37304797.0,11.49,0.33,0.0405431619786615,22906240.0,2.682,0.1125
2017-01-10,-0.0043516100957354,29201580.0,11.44,0.3000000000000007,-0.0075503355704698,22022969.0,2.66175,0.089
2017-01-11,-0.020979020979021,39377016.0,11.2,0.2599999999999998,-0.0123039353808585,13141588.0,2.629,0.0512499999999999
2017-01-12,-0.0392857142857143,75244087.0,10.76,0.7075999999999993,-0.0163560289083302,15640474.0,2.586,0.0769999999999999
2017-01-13,-0.016728624535316,38175455.0,10.58,0.3099999999999987,-9.66744006187e-05,11445543.0,2.58575,0.0484999999999999
2017-01-17,-0.0718336483931947,70491802.0,9.82,0.450000000000001,-0.022430629411196,14515259.0,2.52775,0.0657500000000002
2017-01-18,0.0061099796334012,51797592.0,9.88,0.6799999999999997,0.0181980021758481,16360615.0,2.57375,0.1030000000000001
2017-01-19,-0.0111336032388664,46151282.0,9.77,0.5,0.0214667314230209,16121778.0,2.629,0.0869999999999997
2017-01-20,-0.0020470829068577,27982147.0,9.75,0.2900000000000009,-0.0109357170026626,12300557.0,2.60025,0.0919999999999998
2017-01-23,0.0164102564102564,27905681.0,9.91,0.3800000000000008,0.0103836169599077,9247639.0,2.62725,0.055
2017-01-24,0.053481331987891,43991188.0,10.44,0.5400000000000009,0.0213150632790941,10730671.0,2.68325,0.0669999999999998
2017-01-25,-0.0086206896551724,61886202.0,10.35,0.8249999999999993,0.0042858473865648,13085039.0,2.69475,0.074135
2017-01-26,0.0164251207729469,35866570.0,10.52,0.3599999999999994,0.0172557751182856,11469970.0,2.74125,0.08125
2017-01-27,0.0142585551330798,32719173.0,10.67,0.2100000000000008,0.0193342453260374,11799929.0,2.79425,0.0760000000000001
2017-01-30,-0.0056232427366448,37724991.0,10.61,0.379999999999999,-0.0156571530822224,12400084.0,2.7505,0.077485
2017-01-31,-0.0226201696512724,53704949.0,10.37,0.4499999999999993,-0.0076349754590075,9068865.0,2.7295000000000003,0.0462499999999998
2017-02-01,0.162970106075217,165939778.0,12.06,1.33,0.0436893203883495,14750082.0,2.84875,0.1065000000000001
